uid, mimetype, format, format_version, valid, wellformed, creating_application_name, created, size, checksum_md5, lastmodified_fs, puid, lastmodified, linebreak, charset, byteorder, compression_scheme, image_width, image_height, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, icc_profile_name, orientation, scanner_softwarename, icc_profile_version, bit_rate, samplerate, channels, title, creating_os, message, markupbasis, YCbCrPositioning, digitalcamera_modelname, fnumber, exposure_time, isospeedrating, flash, focallength, digitalcamera_manufacturer, exif_version, shutterspeedvalue, aperture_value, pagecount, is_tagged, has_outline, has_annotations, is_rightsmanaged, is_protected, has_forms, author, language, duration, frameRate, audioSampleRate, encoding, markupBasisVersion, referenceBlackWhite, audio_dataencoding, bit_depth, rotation, subject, brightness, exposure_biasvalue, meteringmode, exposure_program, aperture_value_max, sensingmethod, gpsVersionID, numsamples, block_align, wordsize, offset, YCbCrCoefficients, whitePointXValue, whitePointYValue, subjectDistance, exposureIndex, capturedevice, brightnessvalue, creating_application_version, wordcount, charactercount, gpsLatitude, gpsLongitude, gpsAltitudeRef, gpsAltitude, gpsTimeStamp, gpsMeasureMode, gpsDOP, gpsSpeed, gpsTrack, gpsImgDirection, gpsDestLatitude, gpsDestLongitude, gpsDestBearing, gpsDestDistance, markupLanguage, scanner_manufacturer, scanner_modelname, location, mimeType, formatProfile, dateModified, videoDataEncoding, codecId, codecCC, codecVersion, codecName, codecFamily, codecInfo, compression, delay, trackSize, width, height, frameCount, aspectRatio, scanningFormat, chromaSubsampling, bitRateMode, samplingRate, tablecount, graphicsCount, dateCreated, frameRateMode, soundField, inhibitortype, milliseconds, gpsDateStamp, software, 
/home/asztrik/Documents/TUW/2DP/3/maker.sh, text/plain, Plain text, , true, true, , , 192, 83de8ddbc3c75ee35d155e6e12a98043, Thu Jun 09 22:28:18 CEST 2016, , , LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/strace.log.5614_services, inode/x-empty, empty, , , , , , 0, d41d8cd98f00b204e9800998ecf8427e, Thu Jun 09 23:24:30 CEST 2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/saturn2.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 2.5, , , , , 213120, 47e8b871fc8723597d48b86a0481eaf4, Wed May 25 21:39:28 CEST 2016, , Wed May 25 21:39:28 CEST 2016, , , , , , , , , , , , , , , , , , , CONFLICT, 8000, CONFLICT, , , , , , , , , , , , , , , , , , , , , , , , , 0:0:13:307, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 13307, , , 
/home/asztrik/Documents/TUW/2DP/3/csv/vger.csv, CONFLICT, CONFLICT, , , , , , 11100701, f3b23c4ebcfbe7adb20baa2ca7e86cbe, Thu Jun 09 22:47:46 CEST 2016, x-fmt/18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/enceladus.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 2, , , , , 172616, caeaeef964cf46ba492bd9ea8a4274c7, Wed May 25 21:36:10 CEST 2016, fmt/134, Wed May 25 21:36:10 CEST 2016, , , , , , , , , , , , , , , , , , , CONFLICT, 22050, CONFLICT, , , , , , , , , , , , , , , , , , , , , , , , , 0:0:10:776, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10776, , , 
/home/asztrik/Documents/TUW/2DP/3/csv/saturn2.csv, CONFLICT, CONFLICT, , , , , , 6102182, 595ed83eb64dbdd1a91bd8838d166ac4, Thu Jun 09 22:30:06 CEST 2016, x-fmt/18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/strace.log.5614_files, text/plain, Plain text, , true, true, , , 48, 4204014c814d525f7142f0ab7bf3c9a6, Thu Jun 09 23:24:30 CEST 2016, , , LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/sparql.txt, text/plain, Plain text, , true, true, , , 3566, ed7e650c4933215852ee8af9028e8154, Fri Jun 10 00:57:47 CEST 2016, x-fmt/111, , LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/saturn3.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 26822397, e7dc3689f56a912301c2f5717038ad72, Mon Jan 19 13:44:29 CET 2015, fmt/134, Mon Jan 19 13:44:29 CET 2015, , , , , , , , , , , , , , , , , , , CONFLICT, 48000, 2, , , , , , , , , , , , , , , , , , , , , , , , , 1:51:45:550, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6705550, , , 
/home/asztrik/Documents/TUW/2DP/3/strace.log.7199_files_raw, text/plain, Plain text, , true, true, , , 43, 2b7f3246ee30d878d5466c7fe9b0fff4, Thu Jun 09 23:24:30 CEST 2016, , , LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
